"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","Datewhenpaid"
"6/14/2019 12:00:00 AM","Rct689              ","12","Dr510700            ","-772845","Jv12689             ","","","KES",""
"6/12/2019 12:00:00 AM","Rct690              ","12","Dr561               ","-46500","Jv12690             ","","","KES",""
"6/13/2019 12:00:00 AM","Rct692              ","12","Dr510698            ","-464095","Jv12693             ","","","KES",""
"6/13/2019 12:00:00 AM","Rct693              ","12","Dr510698            ","-900000","Jv12694             ","","","KES",""
"6/13/2019 12:00:00 AM","2223                ","0","Dr510698            ","-74405","Jv12695             ","B01       ","          ","KES",""
"6/18/2019 12:00:00 AM","Rvs54               ","13","Dr574               ","-120000","Jv12718             ","          ","          ","KES",""
"6/14/2019 12:00:00 AM","INV855              ","10","Dr510702            ","120000","Jv12723             ","          ","          ","KES","6/14/2019 12:00:00 AM"
"6/18/2019 12:00:00 AM","INV856              ","10","Dr510702            ","600000","Jv12726             ","          ","          ","KES","6/18/2019 12:00:00 AM"
"6/19/2019 12:00:00 AM","INV857              ","10","Dr510703            ","51000","Jv12738             ","          ","          ","KES","6/21/2019 12:00:00 AM"
"6/20/2019 12:00:00 AM","INV858              ","10","Dr561               ","46500","Jv12756             ","          ","          ","KES","6/20/2019 12:00:00 AM"
"6/20/2019 12:00:00 AM","Rct694              ","12","Dr561               ","-46300","Jv12757             ","","","KES",""
"6/20/2019 12:00:00 AM","Rct695              ","12","Dr561               ","-199.99","Jv12758             ","","","KES",""
"6/25/2019 12:00:00 AM","INV859              ","10","Dr510702            ","408000","Jv12778             ","          ","          ","KES","6/25/2019 12:00:00 AM"
"6/25/2019 12:00:00 AM","INV860              ","10","Dr510704            ","80000","Jv12781             ","          ","          ","KES","3/5/2020 12:00:00 AM"
"6/27/2019 12:00:00 AM","INV861              ","10","Dr561               ","46500","Jv12790             ","          ","          ","KES","6/28/2019 12:00:00 AM"
"6/27/2019 12:00:00 AM","INV862              ","10","Dr369               ","41000","Jv12794             ","          ","          ","KES","8/10/2019 12:00:00 AM"
"6/28/2019 12:00:00 AM","Rct696              ","12","Dr561               ","-46500","Jv12795             ","","","KES",""
"6/27/2019 12:00:00 AM","Rct697              ","12","Dr510704            ","-50000","Jv12797             ","","","KES",""
"6/25/2019 12:00:00 AM","Rct698              ","12","Dr369               ","-41000","Jv12798             ","","","KES",""
"6/28/2019 12:00:00 AM","INV863              ","10","Dr649               ","24360","Jv12801             ","          ","          ","KES","7/18/2019 12:00:00 AM"
"7/2/2019 12:00:00 AM","INV864              ","10","Dr510705            ","247500","Jv12837             ","          ","          ","KES","7/2/2019 12:00:00 AM"
"7/2/2019 12:00:00 AM","Rct699              ","12","Dr510705            ","-247500","Jv12838             ","","","KES",""
"7/3/2019 12:00:00 AM","INV865              ","10","Dr510688            ","1336000","Jv12927             ","          ","          ","KES","7/10/2019 12:00:00 AM"
"6/14/2019 12:00:00 AM","Rct700              ","12","Dr510702            ","-720000","Jv12946             ","","","KES",""
"6/21/2019 12:00:00 AM","Rct701              ","12","Dr510702            ","-408000","Jv12947             ","","","KES",""
"7/4/2019 12:00:00 AM","INV866              ","10","Dr290678            ","22500","Jv12972             ","          ","          ","KES","7/4/2019 12:00:00 AM"
