"date","stname","doctyp","batch","itemcode","invref","netamt","vat","amount","fulqty","loosqty","price","curr_rat","stockvalue","store","journal","curr_cod","period","del","factory","jobcard","len","wid","sman","pkey","BQitemcode","dimension","PartPerUnit"
"12/17/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","28","","S.103               ","B/No1059            ","","","","0.0000","1180.0000","0.00","","","1         ","Jv31877             ","","64","","","","","","","1728940","","","1"
"12/17/2021 12:00:00 AM","","28","","S.60192             ","B/No1059            ","","","","0.0000","-774.4000","0.00","","","1         ","Jv31877             ","","64","","","","","","","1728941","","","1"
"12/17/2021 12:00:00 AM","","28","","S.18                ","B/No1059            ","","","","0.0000","-3.0000","0.00","","","1         ","Jv31877             ","","64","","","","","","","1728942","","","1"
"12/17/2021 12:00:00 AM","","28","","S.60168             ","B/No1059            ","","","","0.0000","-6.0000","0.00","","","1         ","Jv31877             ","","64","","","","","","","1728943","","","1"
"12/17/2021 12:00:00 AM","","28","","S.60177             ","B/No1059            ","","","","0.0000","-75.0000","0.00","","","1         ","Jv31877             ","","64","","","","","","","1728944","","","1"
"12/18/2021 12:00:00 AM","Drum Empties                                      ","30","1013329             ","S.15                ","LPO1532             ","38000.00","0.00","38000.0000","0.0000","38.0000","1000.00","","","1         ","Jv31878             ","","64","","","GRN.1171  ","","","","1728945","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO.2603             ","38000.00","0.00","38000.0000","0.0000","-200.0000","190.00","","","1         ","Jv31881             ","","64","","","PL2155    ","","","","1728946","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO. 3                                  ","19","","S.60166             ","SO.2603             ","74800.00","0.00","74800.0000","0.0000","-400.0000","187.00","","","1         ","Jv31881             ","","64","","","PL2155    ","","","","1728947","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 7                                   ","19","","S.60185             ","SO.2603             ","456000.00","0.00","456000.0000","0.0000","-2400.0000","190.00","","","1         ","Jv31881             ","","64","","","PL2155    ","","","","1728948","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 7                                   ","28","","S.60185             ","B/No1060            ","","","","0.0000","1280.0000","0.00","","","1         ","Jv31883             ","","64","","","","","","","1728949","","","1"
"12/18/2021 12:00:00 AM","","28","","S.60192             ","B/No1060            ","","","","0.0000","-1100.0000","0.00","","","1         ","Jv31883             ","","64","","","","","","","1728950","","","1"
"12/18/2021 12:00:00 AM","","28","","S.18                ","B/No1060            ","","","","0.0000","-6.0000","0.00","","","1         ","Jv31883             ","","64","","","","","","","1728951","","","1"
"12/18/2021 12:00:00 AM","","28","","S.60168             ","B/No1060            ","","","","0.0000","-12.0000","0.00","","","1         ","Jv31883             ","","64","","","","","","","1728952","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO.2604             ","300000.00","0.00","300000.0000","0.0000","-1600.0000","187.50","","","1         ","Jv31885             ","","64","","","PL2156    ","","","","1728953","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO.2604             ","40000.00","0.00","40000.0000","0.0000","-160.0000","250.00","","","1         ","Jv31885             ","","64","","","PL2156    ","","","","1728954","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO. 3                                  ","19","","S.60166             ","SO.2604             ","148000.00","0.00","148000.0000","0.0000","-800.0000","185.00","","","1         ","Jv31885             ","","64","","","PL2156    ","","","","1728955","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO. 3                                  ","19","","S.60166             ","SO.2604             ","36000.00","0.00","36000.0000","0.0000","-160.0000","225.00","","","1         ","Jv31885             ","","64","","","PL2156    ","","","","1728956","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 7                                   ","19","","S.60185             ","SO.2604             ","380000.00","0.00","380000.0000","0.0000","-2000.0000","190.00","","","1         ","Jv31885             ","","64","","","PL2156    ","","","","1728957","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 7                                   ","19","","S.60185             ","SO.2604             ","63000.00","0.00","63000.0000","0.0000","-240.0000","262.50","","","1         ","Jv31885             ","","64","","","PL2156    ","","","","1728958","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","28","","S.103               ","B/No1061            ","","","","0.0000","540.0000","0.00","","","1         ","Jv31887             ","","64","","","","","","","1728959","","","1"
"12/18/2021 12:00:00 AM","","28","","S.60192             ","B/No1061            ","","","","0.0000","-450.0000","0.00","","","1         ","Jv31887             ","","64","","","","","","","1728960","","","1"
"12/18/2021 12:00:00 AM","","28","","S.18                ","B/No1061            ","","","","0.0000","-2.0000","0.00","","","1         ","Jv31887             ","","64","","","","","","","1728961","","","1"
"12/18/2021 12:00:00 AM","","28","","S.60168             ","B/No1061            ","","","","0.0000","-5.0000","0.00","","","1         ","Jv31887             ","","64","","","","","","","1728962","","","1"
"12/9/2021 12:00:00 AM","BITUSHIELD NO 7                                   ","28","","S.60185             ","B/No1049            ","","","","0.0000","159.1000","0.00","","","1         ","Jv31888             ","","64","","","","","","","1728963","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO.2605             ","114000.00","0.00","114000.0000","0.0000","-600.0000","190.00","","","1         ","Jv31890             ","","64","","","PL2157    ","","","","1728964","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO. 3                                  ","19","","S.60166             ","SO.2605             ","74800.00","0.00","74800.0000","0.0000","-400.0000","187.00","","","1         ","Jv31890             ","","64","","","PL2157    ","","","","1728965","","","1"
"12/18/2021 12:00:00 AM","BITUSHIELD NO 7                                   ","19","","S.60185             ","SO.2605             ","190000.00","0.00","190000.0000","0.0000","-1000.0000","190.00","","","1         ","Jv31890             ","","64","","","PL2157    ","","","","1728966","","","1"
"12/20/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO.2608             ","10000.00","1379.31","10000.0000","0.0000","-40.0000","215.52","","","1         ","Jv31896             ","","64","","","PL2159    ","","","","1728967","","","1"
"12/17/2021 12:00:00 AM","","28","","S.16                ","B/No1062            ","","","","0.0000","-5986.0000","0.00","","","1         ","Jv31898             ","","64","","","","","","","1728968","","","1"
"12/17/2021 12:00:00 AM","","28","","S.17                ","B/No1062            ","","","","0.0000","-10.0000","0.00","","","1         ","Jv31898             ","","64","","","","","","","1728969","","","1"
"12/17/2021 12:00:00 AM","","28","","S.161               ","B/No1062            ","","","","0.0000","-75.5000","0.00","","","1         ","Jv31898             ","","64","","","","","","","1728970","","","1"
"12/17/2021 12:00:00 AM","","28","","S.20164             ","B/No1062            ","","","","0.0000","-10.0000","0.00","","","1         ","Jv31898             ","","64","","","","","","","1728971","","","1"
"12/17/2021 12:00:00 AM","","28","","S.113               ","B/No1062            ","","","","0.0000","-300.0000","0.00","","","1         ","Jv31898             ","","64","","","","","","","1728972","","","1"
"12/10/2021 12:00:00 AM","Drum Empties                                      ","30","1013333             ","S.15                ","LPO1534             ","82000.00","0.00","82000.0000","0.0000","82.0000","1000.00","","","1         ","Jv31900             ","","64","","","GRN.1172  ","","","","1728973","","","1"
"12/17/2021 12:00:00 AM","Black Bituminous Paint  PF4                       ","11","","S.35                ","INV.2117            ","55680.00","7680.00","55680.0000","0.0000","200.0000","240.00","","","1         ","Jv31903             ","","64","","","CN91      ","","","","1728974","","","1"
"12/17/2021 12:00:00 AM","Black Bituminous Paint  PF4                       ","11","","S.35                ","INV.2117            ","27840.00","3840.00","27840.0000","0.0000","100.0000","240.00","","","1         ","Jv31903             ","","64","","","CN91      ","","","","1728975","","","1"
"12/17/2021 12:00:00 AM","Black Bituminous Paint  PF4                       ","19","","S.35                ","SO.2609             ","55680.00","7680.00","55680.0000","0.0000","-200.0000","240.00","","","1         ","Jv31906             ","","64","","","PL2160    ","","","","1728976","","","1"
"12/17/2021 12:00:00 AM","Black Bituminous Paint  PF4                       ","19","","S.35                ","SO.2609             ","27840.00","3840.00","27840.0000","0.0000","-100.0000","240.00","","","1         ","Jv31906             ","","64","","","PL2160    ","","","","1728977","","","1"
"12/20/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO.2610             ","28800.00","3972.41","28800.0000","0.0000","-120.0000","206.90","","","1         ","Jv31916             ","","64","","","PL2161    ","","","","1728978","","","1"
"12/20/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO.2611             ","19400.00","2675.86","19400.0000","0.0000","-80.0000","209.05","","","1         ","Jv31935             ","","64","","","PL2163    ","","","","1728979","","","1"
"12/20/2021 12:00:00 AM","BITUSHIELD NO 5                                   ","19","","S.103               ","SO.2613             ","2088.00","288.00","2088.0000","0.0000","-4.0000","450.00","","","1         ","Jv31944             ","","64","","","PL2165    ","","","","1728980","","","1"
"12/20/2021 12:00:00 AM","BITUSHIELD NO. 3                                  ","19","","S.60166             ","SO.2613             ","1900.00","262.07","1900.0000","0.0000","-4.0000","409.48","","","1         ","Jv31944             ","","64","","","PL2165    ","","","","1728981","","","1"
"12/18/2021 12:00:00 AM","Drum Empties                                      ","30","1013336             ","S.15                ","LPO1535             ","80300.00","0.00","80300.0000","0.0000","73.0000","1100.00","","","1         ","Jv31949             ","","64","","","GRN.1173  ","","","","1728982","","","1"
"12/20/2021 12:00:00 AM","Redicote EM 44                                    ","30","1013339             ","S.160               ","LPO1536             ","50000.00","0.00","50000.0000","0.0000","40.0000","1250.00","","","1         ","Jv31952             ","","64","","","GRN.1174  ","","","","1728983","","","1"
"12/20/2021 12:00:00 AM","REDICOTE EM48                                     ","30","1013340             ","S.160               ","LPO1536             ","50000.00","0.00","50000.0000","0.0000","40.0000","1250.00","","","1         ","Jv31952             ","","64","","","GRN.1174  ","","","","1728984","","","1"
"12/18/2021 12:00:00 AM","Redicote E 4875 NPF                               ","30","1013346             ","S.161               ","LPO1538             ","100000.00","0.00","100000.0000","0.0000","80.0000","1250.00","","","1         ","Jv31957             ","","64","","","GRN.1175  ","","","","1728985","","","1"
"12/21/2021 12:00:00 AM","Black Bituminous Paint  PF4                       ","19","","S.35                ","SO.2614             ","19500.00","2689.66","19500.0000","0.0000","-60.0000","280.17","","","1         ","Jv31962             ","","64","","","PL2166    ","","","","1728986","","","1"
"12/20/2021 12:00:00 AM","Dry white paint                                   ","30","1013349             ","S.60222             ","LPO1539             ","16000.00","2206.90","16000.0000","0.0000","40.0000","344.83","","","1         ","Jv31965             ","","64","","","GRN.1176  ","","","","1728987","","","1"
"12/20/2021 12:00:00 AM","Dry black paint                                   ","30","1013350             ","S.60223             ","LPO1539             ","1600.00","220.69","1600.0000","0.0000","4.0000","344.83","","","1         ","Jv31965             ","","64","","","GRN.1176  ","","","","1728988","","","1"
"12/21/2021 12:00:00 AM","ASH GREY BITUMINOUS PAINT                         ","28","","S.60224             ","B/No1063            ","","","","0.0000","44.4000","0.00","","","1         ","Jv31967             ","","64","","","","","","","1728989","","","1"
"12/21/2021 12:00:00 AM","","28","","S.60222             ","B/No1063            ","","","","0.0000","-40.0000","0.00","","","1         ","Jv31967             ","","64","","","","","","","1728990","","","1"
"12/21/2021 12:00:00 AM","","28","","S.60223             ","B/No1063            ","","","","0.0000","-3.4000","0.00","","","1         ","Jv31967             ","","64","","","","","","","1728991","","","1"
"12/21/2021 12:00:00 AM","","28","","S.35                ","B/No1063            ","","","","0.0000","-1.0000","0.00","","","1         ","Jv31967             ","","64","","","","","","","1728992","","","1"
"12/20/2021 12:00:00 AM","Ash Grey Bituminous paint                         ","19","","S.60224             ","SO.2615             ","7099.20","979.20","7099.2000","0.0000","-15.0000","408.00","","","1         ","Jv31969             ","","64","","","PL2167    ","","","","1728993","","","1"
"12/21/2021 12:00:00 AM","180 kg Bitumen 60/70                              ","30","1013355             ","S.24                ","LPO1540             ","624323.00","86113.52","624323.0000","0.0000","8918.0000","60.34","","","1         ","Jv31991             ","","64","","","GRN.1177  ","","","","1728994","","","1"
"12/21/2021 12:00:00 AM","","28","","S.16                ","B/No1065            ","","","","0.0000","-6396.0000","0.00","","","1         ","Jv31993             ","","64","","","","","","","1728995","","","1"
"12/21/2021 12:00:00 AM","","28","","S.17                ","B/No1065            ","","","","0.0000","-20.0000","0.00","","","1         ","Jv31993             ","","64","","","","","","","1728996","","","1"
"12/21/2021 12:00:00 AM","","28","","S.20164             ","B/No1065            ","","","","0.0000","-10.0000","0.00","","","1         ","Jv31993             ","","64","","","","","","","1728997","","","1"
"12/21/2021 12:00:00 AM","","28","","S.113               ","B/No1065            ","","","","0.0000","-300.0000","0.00","","","1         ","Jv31993             ","","64","","","","","","","1728998","","","1"
