"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","PriceInPricelist","Increase","PartPerUnit","modified","Qunatity_replaced","packagescharge"
"1576843","1","3/25/2022 12:00:00 AM","SO.2876","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","1.00","4482.76","717.24","5200.00","","","0.00","1","0.00","S.90","16.00","False","","","3707","775.76","20","1","",""
"1576844","16","3/25/2022 12:00:00 AM","SL620","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","","4482.76","717.24","5200.00","","","0.00","1","0.00","S.90","16.00","False","","","3707","775.76","20","","",""
"1576845","16","3/25/2022 12:00:00 AM","SL620","","","S.143","Fibre Glass Membrane                              ","Units     ","35.00","","","200.00","1120.00","8120.00","","","0.00","35","0.00","","16.00","False","","","14655.173","-14455.173","1","","",""
"1576846","19","3/25/2022 12:00:00 AM","PL2370","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","","4482.76","717.24","5200.00","","","0.00","1","0.00","S.90","16.00","False","","","3707","775.76","20","","",""
"1576847","19","3/25/2022 12:00:00 AM","PL2370","","","S.143","Fibre Glass Membrane                              ","Units     ","35.00","","","200.00","1120.00","8120.00","","","0.00","35","0.00","","16.00","False","","","14655.173","-14455.173","1","","",""
"1576848","10","3/25/2022 12:00:00 AM","INV.2353","","","S.143","Fibre Glass Membrane                              ","Units     ","35.00","","","200.00","1120.00","8120.00","","","","","0.00","","16.00","False","","0","14655.173","-14455.173","1","","",""
"1576849","10","3/25/2022 12:00:00 AM","INV.2353","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","","4482.76","717.00","5200.00","","","","","0.00","S.90","16.00","False","","0","3707","775.76","20","","",""
"1576850","1","3/26/2022 12:00:00 AM","SO.2877","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","1.00","4482.76","717.24","5200.00","","","0.00","1","0.00","S.90","16.00","False","","","3707","775.76","20","1","",""
"1576851","1","3/26/2022 12:00:00 AM","SO.2877","","","S.143","Fibre Glass Membrane                              ","Units     ","10.00","","10.00","200.00","320.00","2320.00","","","0.00","10","0.00","S.90","16.00","False","","","14655.173","-14455.173","1","10","",""
"1576852","16","3/26/2022 12:00:00 AM","SL621","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","1.00","","","4482.76","717.24","5200.00","","","0.00","1","0.00","S.90","16.00","False","","","3707","775.76","20","","",""
