"date","details","cleared","flag","invref","acctfolio","allocat","amount","pamount","module","type","cash","del","curr_cod","curr_rat","id","i_n_t","period","journal","typ","sns","vatamt","vatc","pkey","systypes_1","ledger"
"2/19/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV473              ","Dr431               ","","59067.2","0","","","","","KES       ","","","I","18","Jv6922              ","r ","","8147.2","","645854","10","General             "
"2/20/2018 12:00:00 AM","MC-30 CutBack X 100.00 Drums                                                                        ","","I     ","Rvs25               ","Dr649               ","","-1700000","0","","","","","KES       ","","","I","18","Jv6923              ","r ","","-234482.76","","645855","13","General             "
"2/13/2018 12:00:00 AM","Receipt  RTGS                                                                                       ","","DR    ","Rct347              ","Dr471               ","","-473000","0","","","","","KES       ","","","R","18","Jv6924              ","_W","","0","","645856","12","02Ac00126           "
"2/13/2018 12:00:00 AM","VAT withheld(James Finlays)                                                                         ","","DR    ","1385                ","Dr471               ","","-25800","","","J","","","KES       ","1","","J","18","Jv6925              ","J ","","","","645857","0","Jo0010398           "
"2/20/2018 12:00:00 AM","MC-30 CutBack                                                                                       ","","I     ","INV474              ","Dr471               ","","220400","0","","","","","KES       ","","","I","18","Jv6953              ","r ","","30400","","645858","10","General             "
"2/20/2018 12:00:00 AM","K1-60 Emulsion (60% bidder content)                                                                 ","","I     ","INV474              ","Dr471               ","","377000","0","","","","","KES       ","","","I","18","Jv6953              ","r ","","52000","","645859","10","General             "
"2/16/2018 12:00:00 AM","183 kgs Bitumen 80/100                                                                              ","","I     ","INV475              ","Dr200678            ","","51240","0","","","","","KES       ","","","I","18","Jv6967              ","r ","","7067.59","","645860","10","General             "
"2/16/2018 12:00:00 AM","Receipt  Inv no.475                                                                                 ","","DR    ","Rct348              ","Dr200678            ","","-51240","0","","","","","KES       ","","","R","18","Jv6968              ","_W","","0","","645861","12","02Ac00126           "
"2/16/2018 12:00:00 AM","Receipt  CHQ.031999                                                                                 ","","DR    ","Rct349              ","Dr140670            ","","-473000","0","","","","","KES       ","","","R","18","Jv7030              ","_W","","0","","645862","12","02Ac00126           "
"2/22/2018 12:00:00 AM","VAT withheld(Kansai plascon KE Ltd)                                                                 ","","DR    ","1388                ","Dr140670            ","","-25800","","","J","","","KES       ","1","","J","18","Jv7031              ","J ","","","","645863","0","Jo0010398           "
"2/15/2018 12:00:00 AM","Receipt  CHQ.459405                                                                                 ","","DR    ","Rct350              ","Dr474               ","","-400000","0","","","","","KES       ","","","R","18","Jv7066              ","_W","","0","","645864","12","02Ac00126           "
"2/24/2018 12:00:00 AM","MC-30 CutBack                                                                                       ","","I     ","INV476              ","Dr210678            ","","870000","0","","","","","KES       ","","","I","18","Jv7078              ","r ","","120000","","646855","10","General             "
