"itemcode","StockIn","cost","StockOut","StockBalance","rowid","journal","GRN","PartPerUnit"
"S.8                 ","86","50","0","86","720585","Jv18143             ","WRK303              ",""
"S.6                 ","10000","30.17","10000","0","720586","Jv18144             ","B/No398             ",""
"S.6                 ","11000","31.97","11000","0","720587","Jv18146             ","B/No399             ",""
"S.60169             ","30625","26.0376","0","30625","720588","Jv18226             ","LPO774              ",""
"S.60170             ","224","915.42","0","224","720589","Jv18226             ","LPO774              ",""
"S.15                ","50","1000","50","0","720590","Jv18230             ","LPO775              ",""
"S.15                ","120","1000","120","0","720591","Jv18234             ","LPO777              ",""
"S.15                ","11","850","11","0","720592","Jv18237             ","LPO778              ",""
"S.15                ","50","1000","50","0","720593","Jv18239             ","LPO779              ",""
"S.60171             ","9900","92.34","0","9900","720594","Jv18244             ","LPO780              ",""
"S.15                ","84","1000","84","0","720595","Jv18248             ","LPO781              ",""
"S.60172             ","200","339.15","0","200","720596","Jv18348             ","LPO771              ",""
"S.60169             ","5625","26.0376","0","5625","720597","Jv18350             ","LPO782              ",""
"S.99                ","7600","34.96","7600","0","720598","Jv18389             ","B/No400             ",""
"S.99                ","9600","36.56","9600","0","720599","Jv18390             ","B/No401             ",""
"S.99                ","10000","34.85","10000","0","720600","Jv18391             ","B/No402             ",""
"S.6                 ","11000","33.08","11000","0","720601","Jv18392             ","B/No403             ",""
"S.7                 ","9000","34.61","9000","0","720602","Jv18393             ","B/No404             ",""
"S.6                 ","11000","33.07","11000","0","720603","Jv18414             ","B/No405             ",""
"S.6                 ","11000","31.18","11000","0","720604","Jv18439             ","B/No406             ",""
"S.15                ","50","1000","50","0","720605","Jv18441             ","LPO783              ",""
"S.15                ","100","1000","100","0","720606","Jv18443             ","LPO784              ",""
"S.15                ","39","850","39","0","720607","Jv18460             ","LPO785              ",""
"S.15                ","100","1000","100","0","720608","Jv18462             ","LPO786              ",""
"S.150               ","10800","44.67","10800","0","720609","Jv18563             ","B/No407             ",""
"S.6                 ","10000","31.23","10000","0","720610","Jv18565             ","B/No408             ",""
"S.7                 ","13000","31.96","13000","0","720611","Jv18570             ","B/No409             ",""
"S.120               ","17568","55","0","17568","720612","Jv18578             ","LPO787              ",""
"S.120               ","17568","55","0","17568","720613","Jv18581             ","LPO788              ",""
"S.120               ","9882","55","0","9882","720614","Jv18586             ","LPO789              ",""
"S.15                ","88","1000","88","0","720615","Jv18594             ","LPO790              ",""
"S.15                ","100","1000","100","0","720616","Jv18599             ","LPO791              ",""
"S.15                ","100","1100","100","0","720617","Jv18603             ","LPO792              ",""
"S.6                 ","5500","28.57","5500","0","720618","Jv18607             ","B/No410             ",""
"S.120               ","17568","56","0","17568","720619","Jv18612             ","LPO793              ",""
"S.17                ","275000","0.0399","0","275000","720620","Jv18614             ","LPO796              ",""
"S.18                ","25000","0.057","0","25000","720621","Jv18614             ","LPO796              ",""
"S.144               ","1000","125.429211295034","0","1000","720622","Jv18616             ","LPO794              ",""
"S.160               ","120400","3.99071129503408","0","120400","720623","Jv18616             ","LPO794              ",""
"S.161               ","420","752.429211295034","0","420","720624","Jv18616             ","LPO794              ",""
"S.7                 ","13000","32.75","13000","0","720625","Jv18620             ","B/No411             ",""
"S.120               ","18300","58","0","18300","720626","Jv18628             ","LPO798              ",""
"S.15                ","100","1000","100","0","720627","Jv18630             ","LPO799              ",""
"S.120               ","18300","56","0","18300","720628","Jv18633             ","LPO800              ",""
"S.15                ","150","1000","150","0","720629","Jv18635             ","LPO802              ",""
"S.6                 ","10500","30.73","10500","0","720630","Jv18637             ","B/No412             ",""
"S.13                ","5000","70.5","0","5000","720631","Jv18642             ","WRK304              ",""
"S.9                 ","7500","59.23","7500","0","720632","Jv18643             ","B/No413             ",""
"S.6                 ","10500","29.72","10500","0","720633","Jv18644             ","B/No414             ",""
"S.7                 ","13000","34.34","13000","0","720634","Jv18645             ","B/No415             ",""
"S.6                 ","11000","30.73","11000","0","720635","Jv18646             ","B/No416             ",""
"S.6                 ","11000","30.72","11000","0","720636","Jv18648             ","B/No417             ",""
"S.6                 ","10500","32.18","10500","0","720637","Jv18649             ","B/No418             ",""
"S.6                 ","9000","31.79","9000","0","720638","Jv18667             ","B/No419             ",""
"S.15                ","34","850","34","0","720639","Jv18671             ","LPO803              ",""
"S.120               ","11271","55","0","11271","720640","Jv18673             ","LPO804              ",""
"S.15                ","2","850","2","0","720641","Jv18675             ","LPO805              ",""
"S.15                ","122","1100","122","0","720642","Jv18677             ","LPO806              ",""
"S.15                ","15","1000","15","0","720643","Jv18693             ","LPO807              ",""
"S.15                ","78","1000","78","0","720644","Jv18695             ","LPO808              ",""
"S.120               ","11895","58","0","11895","720645","Jv18697             ","LPO810              ",""
"S.15                ","1","850","1","0","720646","Jv18699             ","LPO811              ",""
"S.7                 ","6500","32.07","6500","0","720647","Jv18708             ","B/No420             ",""
"S.150               ","6000","45.22","6000","0","720648","Jv18709             ","B/No421             ",""
"S.120               ","18300","56.7650273224044","0","18300","720649","Jv18728             ","LPO812              ",""
"S.17                ","550000","0.0444454545454545","0","550000","720650","Jv18776             ","LPO813              ",""
"S.15                ","8","850","8","0","720651","Jv18778             ","LPO803              ",""
"S.15                ","22","1000","22","0","720652","Jv18782             ","LPO814              ",""
"S.15                ","200","1000","200","0","720653","Jv18793             ","LPO815              ",""
