"customerCode","stockcode","approved","approvedby","DateTime","units_code","quantity","price","id","container"
"Dr510880","S.103","True","Lucybriate","9/13/2021 9:29:00 AM","u20","4","991.3793","248",""
"Dr510882","S.103","True","Mugure","9/15/2021 9:48:00 AM","u20","4","991.3793","250",""
"Dr510882","S.60166","True","Mugure","9/15/2021 9:48:00 AM","u20","4","939.6552","251",""
"Dr510884","S.60166","True","Mugure","9/15/2021 9:48:00 AM","u20","4","939.6552","252",""
"Dr510884","S.103","True","Mugure","9/15/2021 9:57:00 AM","u20","4","991.3793","256",""
"Dr510883","S.103","True","Lucybriate","9/16/2021 8:29:00 AM","u20","4","991.3793","254",""
"Dr510883","S.60166","True","Lucybriate","9/16/2021 8:30:00 AM","u20","4","939.6552","255",""
"Dr510885","S.120","True","Mugure","9/16/2021 7:58:00 AM","u 8","183","21551.72","257",""
"Dr510976","S.35","True","Lucybriate","4/20/2022 11:02:00 AM","u20","4","1034.483","744",""
"Dr510713","S.60185","True","Lucybriate","9/21/2021 12:22:00 PM","u20","4","991.3793","279",""
"Dr510886","S.60166","True","Lucybriate","9/16/2021 11:51:00 AM","u20","4","939.6552","260",""
"Dr510886","S.103","True","Lucybriate","9/16/2021 11:51:00 AM","u20","4","991.3793","261",""
"Dr593","S.35","True","Lucybriate","12/16/2021 6:45:00 AM","u20","4","1551.724","491",""
"Dr593","S.35","True","Lucybriate","9/17/2021 7:23:00 AM","u 9","20","4741.379","265",""
"","S.8","True","","","u 8","1","69.96552","266",""
"Dr510887","S.8","True","Mugure","9/17/2021 9:51:00 AM","u 8","1","68.96552","267",""
"Dr593","S.103","True","Rose","2/22/2022 11:23:00 AM","u 9","20","5172.414","600",""
"Dr510780","S.60185","True","Lucybriate","2/22/2023 9:46:00 AM","u20","4","1150","971",""
"Dr511027","S.99","True","Sarah","3/6/2023 11:50:00 AM","u 10","200","23275.86","1131",""
"Dr510713","S.103","True","Lucybriate","9/21/2021 12:26:00 PM","u20","4","948.2759","282",""
"Dr510713","S.60166","True","Lucybriate","9/21/2021 12:23:00 PM","u20","4","931.0345","281",""
