"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","discount","PartPerUnit","QuantityToReceive","PriceToReceive","unitofreceivedIn","packzizegrn"
"1011959","20","1/5/2021 12:00:00 AM","PINV763","          ","","S.60170             ","VINOSOL                                           ","kgs       ","75.00","","","840","0.00","63000.00","","","","","","","14.00","False","fulqty","","","1","75","840","kgs       ","1"
"1011960","18","1/7/2021 12:00:00 AM","LPO1069","","","S.15                ","Drum Empties                                      ","Units     ","15.00","","15.00","900","0.00","13500.00","True","","","","","","0.00","False","fulqty","","0","1","15","900","Units     ","1"
"1011961","30","1/7/2021 12:00:00 AM","GRN799","","","S.15                ","Drum Empties                                      ","Units     ","15.00","","","900","0.00","13500.00","","","","","","","0.00","False","fulqty","","","1","15","900","Units     ","1"
"1011962","20","1/7/2021 12:00:00 AM","PINV764","          ","","S.15                ","Drum Empties                                      ","Units     ","15.00","","","900","0.00","13500.00","","","","","","","0.00","False","fulqty","","","1","15","900","Units     ","1"
"1011963","18","1/11/2021 12:00:00 AM","LPO1070","","","S.15                ","Drum Empties                                      ","Units     ","14.00","","14.00","900","0.00","12600.00","True","","","","","","0.00","False","fulqty","","0","1","14","900","Units     ","1"
"1011964","30","1/11/2021 12:00:00 AM","GRN800","","","S.15                ","Drum Empties                                      ","Units     ","14.00","","","900","0.00","12600.00","","","","","","","0.00","False","fulqty","","","1","14","900","Units     ","1"
"1011965","18","1/12/2021 12:00:00 AM","LPO1071","","","","","","6.00","","","900","0.00","5400.00","True","","","","","","0.00","False","fulqty","","0","","6","900","",""
"1011966","18","1/13/2021 12:00:00 AM","LPO1073","","","S.15                ","Drum Empties                                      ","Units     ","6.00","","6.00","900","0.00","5400.00","True","","","","","","0.00","False","fulqty","","0","1","6","900","Units     ","1"
"1011967","30","1/13/2021 12:00:00 AM","GRN801","","","S.15                ","Drum Empties                                      ","Units     ","6.00","","","900","0.00","5400.00","","","","","","","0.00","False","fulqty","","","1","6","900","Units     ","1"
"1011968","18","1/14/2021 12:00:00 AM","LPO1074","","","S.161               ","Redicote E 4875 NPF                               ","Drums     ","420.00","","420.00","725","48720.00","353220.00","True","","","","","","16.00","False","loosqty","","0","1","420","725","Drums     ","1"
