"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","whtax"
"4/27/2022 12:00:00 AM","P0287               ","2","cr190619            ","4000.00","Jv36292             ","","","KES",""
"5/5/2022 12:00:00 AM","LPO1712             ","20","cr366               ","-81600.00","Jv36326             ","E25       ","          ","KES",""
"4/30/2022 12:00:00 AM","1799                ","23","cr380               ","-28914.16","Jv36336             ","          ","          ","KES","False"
"5/4/2022 12:00:00 AM","1800                ","23","cr190695            ","-11252.00","Jv36337             ","          ","          ","KES","False"
"5/4/2022 12:00:00 AM","1801                ","23","cr371               ","-9983.34","Jv36338             ","          ","          ","KES","False"
"5/1/2022 12:00:00 AM","1802                ","23","cr372               ","-71512.58","Jv36339             ","E4        ","          ","KES","False"
"5/5/2022 12:00:00 AM","LPO1713             ","20","cr190635            ","-1961960.01","Jv36344             ","E25       ","          ","KES",""
"5/6/2022 12:00:00 AM","chq003012           ","53","cr473               ","96776.00","Jv36357             ","","","KES",""
"5/6/2022 12:00:00 AM","chq003016           ","53","cr379               ","150000.00","Jv36359             ","","","KES",""
"5/6/2022 12:00:00 AM","4341                ","0","cr575               ","45000.00","Jv36360             ","          ","          ","KES",""
"4/8/2022 12:00:00 AM","4342                ","0","cr190735            ","56000.00","Jv36361             ","          ","          ","KES",""
"5/6/2022 12:00:00 AM","4343                ","0","cr190735            ","56000.00","Jv36362             ","          ","          ","KES",""
"5/4/2022 12:00:00 AM","4345                ","0","cr190619            ","50000.00","Jv36365             ","          ","          ","KES",""
"4/11/2022 12:00:00 AM","Chq003000           ","53","cr366               ","81600.00","Jv36367             ","","","KES",""
"6/17/2022 12:00:00 AM","LPO1757             ","20","cr411               ","-11200.00","Jv37377             ","E25       ","          ","KES",""
"5/4/2022 12:00:00 AM","1803                ","23","cr512               ","-75400.00","Jv36371             ","03        ","          ","KES","False"
"5/6/2022 12:00:00 AM","Chq003019           ","53","cr140615            ","45000.00","Jv36373             ","","","KES",""
"5/12/2022 12:00:00 AM","4347                ","0","cr575               ","-50000.00","Jv36374             ","          ","          ","KES",""
"3/31/2022 12:00:00 AM","1804                ","23","cr515               ","-19550.00","Jv36392             ","01        ","          ","KES","False"
"4/30/2022 12:00:00 AM","1805                ","23","cr515               ","-19550.00","Jv36393             ","01        ","          ","KES","False"
"4/30/2022 12:00:00 AM","1806                ","23","cr513               ","-17010.00","Jv36394             ","01        ","          ","KES","False"
"5/9/2022 12:00:00 AM","LPO1714             ","20","cr190712            ","-334640.00","Jv36399             ","E25       ","          ","KES",""
"5/11/2022 12:00:00 AM","Chq003020           ","53","cr190712            ","334640.00","Jv36401             ","","","KES",""
"5/6/2022 12:00:00 AM","Chq003015           ","53","cr190676            ","209300.00","Jv36403             ","","","KES",""
"5/4/2022 12:00:00 AM","P0287               ","2","cr349               ","10500.00","Jv36426             ","","","KES",""
"5/5/2022 12:00:00 AM","P0287               ","2","cr190670            ","13920.00","Jv36441             ","","","KES",""
"5/5/2022 12:00:00 AM","1807                ","23","cr190736            ","-12010.00","Jv36445             ","          ","          ","KES","False"
"5/5/2022 12:00:00 AM","P0287               ","2","cr190736            ","12010.00","Jv36446             ","","","KES",""
"5/5/2022 12:00:00 AM","1808                ","23","cr190642            ","-6000.00","Jv36447             ","          ","          ","KES","False"
"5/5/2022 12:00:00 AM","P0287               ","2","cr190642            ","6000.00","Jv36448             ","","","KES",""
"5/6/2022 12:00:00 AM","P0287               ","2","cr40610             ","10440.00","Jv36452             ","","","KES",""
"5/10/2022 12:00:00 AM","chq003005           ","53","cr190674            ","350000.00","Jv36475             ","","","KES",""
"5/12/2022 12:00:00 AM","LPO1715             ","20","cr411               ","-49200.00","Jv36519             ","E25       ","          ","KES",""
"5/12/2022 12:00:00 AM","LPO1716             ","20","cr40610             ","-10440.00","Jv36521             ","E25       ","          ","KES",""
"5/13/2022 12:00:00 AM","LPO1717             ","20","cr190737            ","-1595000.01","Jv36524             ","E25       ","          ","KES",""
"5/13/2022 12:00:00 AM","LPO1719             ","20","cr411               ","-107700.00","Jv36526             ","E25       ","          ","KES",""
